eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
315.15,15.95,2251,0.015844984,0.19677734,2.2001698,-0.012830745,0.20599353,0.953770868,139,35584,1025.54846,2277376,315.15,15.95
318.82,16.39,2266,0.00903744,0.113850914,2.1757686,-0.014091064,0.32290685,0.931131899,140,35840,1032.777501,2293760,318.82,16.39
313.39,16.7,2231,0.011034046,0.13427734,2.1602516,-0.016590903,0.1676942,0.963283639,141,36096,1040.122077,2310144,313.39,16.7
328.75,17.35,2227,0.011864695,0.15228271,2.126807,-0.013409746,0.1997062,0.962521896,142,36352,1047.477709,2326528,328.75,17.35
328.47,18.21,2245,0.011909113,0.15089925,2.112313,-0.014346824,0.14991967,0.967437025,143,36608,1054.775959,2342912,328.47,18.21
326.71,18.79,2277,0.017950479,0.20753987,2.0968428,-0.017819371,0.19410042,0.963095043,144,36864,1061.969904,2359296,326.71,18.79
332.66,18.41,2268,0.013826899,0.17161052,2.1059046,-0.017290387,0.15429996,0.972161202,145,37120,1069.192182,2375680,332.66,18.41
317.96,18.38,2170,0.013394668,0.1529134,2.120234,-0.016569218,0.23931484,0.953347649,146,37376,1076.739677,2392064,317.96,18.38
329.92,20.13,2149,0.009465206,0.11857096,2.1076472,-0.015204675,0.17342234,0.964499835,147,37632,1084.362205,2408448,329.92,20.13
335.83,20.63,2288,0.015182217,0.18400066,2.0964959,-0.014595994,0.1595261,0.971609347,148,37888,1091.523169,2424832,335.83,20.63
322.76,18.59,2248,0.013778069,0.17049153,2.1234026,-0.014828119,0.18168002,0.962254401,149,38144,1098.811081,2441216,322.76,18.59
312.18,17.11,2256,0.014758979,0.18135579,2.103817,-0.012756645,0.24078806,0.94700247,150,38400,1106.072441,2457600,312.18,17.11
328.81,18.19,2235,0.012223988,0.15238445,2.1375742,-0.014406178,0.28875956,0.937400207,151,38656,1113.402758,2473984,328.81,18.19
315.03,17.22,2233,0.017809765,0.20277913,2.139184,-0.018796956,0.18393,0.96079329,152,38912,1120.738864,2490368,315.03,17.22
321.13,17.81,2263,0.009451193,0.12390137,2.1393182,-0.015881114,0.15822668,0.95599854,153,39168,1127.976779,2506752,321.13,17.81
337.64,20.55,2279,0.015633242,0.18035889,2.1309435,-0.01622595,0.2498666,0.939687524,154,39424,1135.164152,2523136,337.64,20.55
343.97,21.22,2229,0.013878066,0.1693929,2.1073387,-0.018452365,0.10752981,0.975234585,155,39680,1142.514103,2539520,343.97,21.22
344.23,20.78,2281,0.015245429,0.1776123,2.083751,-0.014728032,0.15896486,0.962618772,156,39936,1149.696471,2555904,344.23,20.78
341.27,21.38,2225,0.018167173,0.20037842,2.1264994,-0.012557839,0.22696324,0.934922054,157,40192,1157.059136,2572288,341.27,21.38
352.95,21.62,2231,0.013010275,0.1632487,2.1006792,-0.014786827,0.17956923,0.943617936,158,40448,1164.401346,2588672,352.95,21.62
348.14,21.99,2249,0.013989964,0.1539917,2.1118658,-0.01358121,0.28895792,0.91694665,159,40704,1171.686331,2605056,348.14,21.99
